dataset,num_agents,threshold,number_focal_schemata,number_best_schemata,mean_similarity_score,segmented,alternation,mixed
all,4,0.25,10,1,1.0,1,0,0
all,4,0.5,16,0,,0,0,0
all,4,0.75,15,4,0.91171875,1,1,2
all,8,0.875,28,15,0.8223958333333333,4,4,7
all,8,0.625,30,0,,0,0,0
all,8,0.375,30,0,,0,0,0
all,9,0.7777777777777778,32,0,,0,0,0
all,5,0.6,20,0,,0,0,0
all,11,0.6363636363636364,34,0,,0,0,0
all,7,1.0,3,3,0.9591836734693878,2,2,2
all,12,0.25,36,0,,0,0,0
all,3,0.6666666666666666,9,2,0.8333333333333333,2,0,0
all,12,0.5,36,0,,0,0,0
all,3,0.3333333333333333,5,1,0.8703703703703703,0,1,0
all,12,0.75,36,0,,0,0,0
all,9,0.5555555555555556,32,0,,0,0,0
all,5,0.4,20,0,,0,0,0
all,11,0.2727272727272727,34,0,,0,0,0
all,7,0.7142857142857143,28,0,,0,0,0
all,9,0.3333333333333333,32,0,,0,0,0
all,7,0.4285714285714285,28,0,,0,0,0
all,2,0.5,3,2,0.875,1,1,0
all,5,0.8,19,0,,0,0,0
all,6,0.6666666666666666,24,0,,0,0,0
all,6,0.3333333333333333,24,0,,0,0,0
all,11,0.4545454545454545,34,0,,0,0,0
all,6,0.5,24,0,,0,0,0
downwards,4,0.75,15,0,,0,0,0
downwards,4,0.5,16,0,,0,0,0
downwards,4,0.25,10,1,1.0,1,0,0
downwards,3,0.6666666666666666,9,0,,0,0,0
downwards,5,0.8,19,0,,0,0,0
downwards,3,0.3333333333333333,5,1,0.8703703703703703,0,1,0
downwards,8,0.875,28,8,0.818359375,1,3,4
downwards,8,0.625,30,0,,0,0,0
downwards,5,0.4,20,0,,0,0,0
downwards,8,0.375,30,0,,0,0,0
downwards,5,0.6,20,0,,0,0,0
upwards,4,0.25,10,0,,0,0,0
upwards,4,0.5,16,0,,0,0,0
upwards,4,0.75,15,3,0.8770833333333333,1,1,1
upwards,8,0.375,30,0,,0,0,0
upwards,8,0.625,30,0,,0,0,0
upwards,8,0.875,28,8,0.8193359375,3,1,4
upwards,9,0.7777777777777778,32,0,,0,0,0
upwards,5,0.6,20,0,,0,0,0
upwards,11,0.6363636363636364,34,0,,0,0,0
upwards,7,1.0,3,3,0.9591836734693878,2,2,2
upwards,12,0.25,36,0,,0,0,0
upwards,3,0.6666666666666666,9,2,0.8333333333333333,2,0,0
upwards,12,0.5,36,0,,0,0,0
upwards,3,0.3333333333333333,5,0,,0,0,0
upwards,12,0.75,36,0,,0,0,0
upwards,9,0.5555555555555556,32,0,,0,0,0
upwards,5,0.4,20,0,,0,0,0
upwards,11,0.2727272727272727,34,0,,0,0,0
upwards,7,0.7142857142857143,28,0,,0,0,0
upwards,9,0.3333333333333333,32,0,,0,0,0
upwards,7,0.4285714285714285,28,0,,0,0,0
upwards,5,0.8,19,0,,0,0,0
upwards,6,0.6666666666666666,24,0,,0,0,0
upwards,6,0.3333333333333333,24,0,,0,0,0
upwards,11,0.4545454545454545,34,0,,0,0,0
upwards,6,0.5,24,0,,0,0,0
