source,treatment,group,round,player,choice,score,attendance,ac_score,threshold,num_players,room,decision
human,score + grid,Grupo-0001,1,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,1,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,2,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,2,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,3,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,3,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,4,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,4,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,5,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,5,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,6,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,6,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,7,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,7,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,8,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,8,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,9,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,9,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,10,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,10,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,11,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,11,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,12,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,12,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,13,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,13,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,14,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,14,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,15,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,15,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,16,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,16,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,17,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,17,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,18,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,18,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,19,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,19,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,20,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,20,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,21,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,21,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,22,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,22,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,23,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,23,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,24,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,24,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,25,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,25,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,26,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,26,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,27,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,27,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,28,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,28,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,29,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,29,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,30,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,30,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,31,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,31,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,32,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,32,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,33,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,33,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,34,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,34,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,35,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,35,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,36,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,36,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,37,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,37,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,38,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,38,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,39,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,39,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,40,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,40,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,41,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,41,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,42,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,42,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,43,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,43,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,44,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,44,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,45,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,45,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,46,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,46,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,47,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,47,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,48,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,48,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,49,728608683559397,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,49,405186428721292,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0001,50,405186428721292,1,1,1,25,0.5,2,Grupo-0001,1
human,score + grid,Grupo-0001,50,728608683559397,0,0,1,25,0.5,2,Grupo-0001,0
human,score + grid,Grupo-0002,1,481217814270509,1,1,1,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,1,752616835913204,0,0,1,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,2,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,2,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,3,481217814270509,0,0,1,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,3,752616835913204,1,1,1,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,4,752616835913204,0,0,0,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,4,481217814270509,0,0,0,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,5,752616835913204,1,1,1,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,5,481217814270509,0,0,1,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,6,481217814270509,1,1,1,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,6,752616835913204,0,0,1,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,7,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,7,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,8,752616835913204,0,0,1,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,8,481217814270509,1,1,1,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,9,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,9,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,10,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,10,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,11,752616835913204,0,0,0,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,11,481217814270509,0,0,0,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,12,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,12,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,13,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,13,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,14,481217814270509,0,0,0,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,14,752616835913204,0,0,0,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,15,752616835913204,1,1,1,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,15,481217814270509,0,0,1,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,16,752616835913204,0,0,0,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,16,481217814270509,0,0,0,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,17,752616835913204,0,0,0,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,17,481217814270509,0,0,0,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,18,752616835913204,1,1,1,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,18,481217814270509,0,0,1,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,19,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,19,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,20,752616835913204,0,0,1,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,20,481217814270509,1,1,1,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,21,752616835913204,0,0,1,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,21,481217814270509,1,1,1,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,22,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,22,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,23,752616835913204,0,0,0,-6,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,23,481217814270509,0,0,0,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,24,752616835913204,1,1,1,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,24,481217814270509,0,0,1,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,25,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,25,481217814270509,1,-1,2,4,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,26,752616835913204,1,1,1,-6,0.5,2,Grupo-0002,1
human,score + grid,Grupo-0002,26,481217814270509,0,0,1,4,0.5,2,Grupo-0002,0
human,score + grid,Grupo-0002,27,752616835913204,1,-1,2,-6,0.5,2,Grupo-0002,1
