treatment,threshold,round,player,decision,score,timeup,time,room,date,num_players,group,choice
upwards,0.3333333333333333,1.0,170568555017336,0.0,0.0,0.0,4787.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,1.0,459561341680218,1.0,-1.0,0.0,4411.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,1.0,281376263239737,0.0,0.0,0.0,13175.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,1.0,745921659422642,0.0,0.0,1.0,30004.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,1.0,699740974271588,1.0,-1.0,0.0,7145.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,1.0,642065798157831,1.0,-1.0,0.0,5336.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,1.0,517686775656690,1.0,-1.0,0.0,3087.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,1.0,327999402308732,0.0,0.0,0.0,5104.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,1.0,199607391338980,1.0,-1.0,0.0,11535.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,2.0,170568555017336,0.0,0.0,0.0,6541.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,2.0,459561341680218,1.0,-2.0,0.0,5650.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,2.0,281376263239737,1.0,-1.0,0.0,2387.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,2.0,745921659422642,1.0,-1.0,0.0,2963.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,2.0,699740974271588,1.0,-2.0,0.0,1308.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,2.0,642065798157831,0.0,-1.0,0.0,4482.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,2.0,517686775656690,0.0,-1.0,0.0,1505.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,2.0,327999402308732,1.0,-1.0,0.0,3463.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,2.0,199607391338980,0.0,-1.0,0.0,6338.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,3.0,170568555017336,1.0,-1.0,0.0,1154.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,3.0,459561341680218,1.0,-3.0,0.0,1258.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,3.0,281376263239737,1.0,-2.0,0.0,2112.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,3.0,745921659422642,1.0,-2.0,0.0,7967.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,3.0,699740974271588,0.0,-2.0,0.0,2926.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,3.0,642065798157831,1.0,-2.0,0.0,3777.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,3.0,517686775656690,1.0,-2.0,0.0,1565.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,3.0,327999402308732,1.0,-2.0,0.0,1055.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,3.0,199607391338980,1.0,-2.0,0.0,3693.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,4.0,170568555017336,0.0,-1.0,0.0,2176.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,4.0,459561341680218,1.0,-4.0,0.0,1346.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,4.0,281376263239737,0.0,-2.0,0.0,1611.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,4.0,745921659422642,0.0,-2.0,0.0,2711.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,4.0,699740974271588,0.0,-2.0,0.0,1851.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,4.0,642065798157831,1.0,-3.0,0.0,6085.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,4.0,517686775656690,1.0,-3.0,0.0,1366.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,4.0,327999402308732,1.0,-3.0,0.0,813.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,4.0,199607391338980,1.0,-3.0,0.0,2190.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,5.0,170568555017336,0.0,-1.0,0.0,2431.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,5.0,459561341680218,0.0,-4.0,0.0,1658.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,5.0,281376263239737,0.0,-2.0,0.0,3907.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,5.0,745921659422642,1.0,-1.0,0.0,4242.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,5.0,699740974271588,0.0,-2.0,0.0,2961.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,5.0,642065798157831,0.0,-3.0,0.0,5417.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,5.0,517686775656690,0.0,-3.0,0.0,1508.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,5.0,327999402308732,0.0,-3.0,0.0,1491.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,5.0,199607391338980,0.0,-3.0,0.0,1809.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,6.0,170568555017336,0.0,-1.0,0.0,3586.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,6.0,459561341680218,0.0,-4.0,0.0,2059.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,6.0,281376263239737,0.0,-2.0,0.0,2267.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,6.0,745921659422642,1.0,-2.0,0.0,5142.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,6.0,699740974271588,1.0,-3.0,0.0,975.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,6.0,642065798157831,1.0,-4.0,0.0,5070.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,6.0,517686775656690,1.0,-4.0,0.0,3299.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,6.0,327999402308732,1.0,-4.0,0.0,1155.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,6.0,199607391338980,0.0,-3.0,0.0,1608.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,7.0,170568555017336,0.0,-1.0,0.0,1887.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,7.0,459561341680218,0.0,-4.0,0.0,1109.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,7.0,281376263239737,1.0,-3.0,0.0,2770.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,7.0,745921659422642,1.0,-3.0,0.0,3624.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,7.0,699740974271588,1.0,-4.0,0.0,2554.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,7.0,642065798157831,1.0,-5.0,0.0,5055.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,7.0,517686775656690,0.0,-4.0,0.0,2145.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,7.0,327999402308732,1.0,-5.0,0.0,1033.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,7.0,199607391338980,0.0,-3.0,0.0,3072.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,170568555017336,0.0,-1.0,0.0,1141.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,459561341680218,0.0,-4.0,0.0,1152.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,281376263239737,0.0,-3.0,0.0,3619.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,745921659422642,0.0,-3.0,0.0,2008.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,699740974271588,0.0,-4.0,0.0,2542.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,642065798157831,1.0,-4.0,0.0,7410.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,8.0,517686775656690,0.0,-4.0,0.0,1106.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,327999402308732,0.0,-5.0,0.0,1939.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,8.0,199607391338980,1.0,-2.0,0.0,2053.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,9.0,170568555017336,0.0,-1.0,0.0,1755.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,9.0,459561341680218,1.0,-5.0,0.0,905.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,9.0,281376263239737,0.0,-3.0,0.0,1146.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,9.0,745921659422642,0.0,-3.0,0.0,3328.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,9.0,699740974271588,1.0,-5.0,0.0,1376.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,9.0,642065798157831,1.0,-5.0,0.0,5102.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,9.0,517686775656690,0.0,-4.0,0.0,2013.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,9.0,327999402308732,1.0,-6.0,0.0,5153.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,9.0,199607391338980,0.0,-2.0,0.0,3979.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,10.0,170568555017336,0.0,-1.0,0.0,2442.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,10.0,459561341680218,1.0,-6.0,0.0,1537.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,10.0,281376263239737,1.0,-4.0,0.0,1890.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,10.0,745921659422642,0.0,-3.0,0.0,1022.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,10.0,699740974271588,0.0,-5.0,0.0,3767.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,10.0,642065798157831,1.0,-6.0,0.0,13257.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,10.0,517686775656690,1.0,-5.0,0.0,2922.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,10.0,327999402308732,0.0,-6.0,0.0,3014.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,10.0,199607391338980,0.0,-2.0,0.0,3213.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,11.0,170568555017336,0.0,-1.0,0.0,1823.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,11.0,459561341680218,1.0,-7.0,0.0,690.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,11.0,281376263239737,1.0,-5.0,0.0,1238.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,11.0,745921659422642,1.0,-4.0,0.0,1663.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,11.0,699740974271588,0.0,-5.0,0.0,1649.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,11.0,642065798157831,0.0,-6.0,0.0,6304.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,11.0,517686775656690,0.0,-5.0,0.0,1452.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,11.0,327999402308732,0.0,-6.0,0.0,1163.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,11.0,199607391338980,1.0,-3.0,0.0,1462.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,12.0,170568555017336,0.0,-1.0,0.0,799.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,12.0,459561341680218,1.0,-8.0,0.0,738.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,12.0,281376263239737,1.0,-6.0,0.0,12769.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,12.0,745921659422642,1.0,-5.0,0.0,2155.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,12.0,699740974271588,0.0,-5.0,0.0,5104.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,12.0,642065798157831,1.0,-7.0,0.0,3096.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,12.0,517686775656690,0.0,-5.0,0.0,1254.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,12.0,327999402308732,0.0,-6.0,0.0,1002.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,12.0,199607391338980,0.0,-3.0,0.0,2381.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,13.0,170568555017336,0.0,-1.0,0.0,946.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,13.0,459561341680218,1.0,-7.0,0.0,1156.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,13.0,281376263239737,0.0,-6.0,0.0,1903.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,13.0,745921659422642,0.0,-5.0,0.0,1699.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,13.0,699740974271588,1.0,-4.0,0.0,3118.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,13.0,642065798157831,1.0,-6.0,0.0,8949.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,13.0,517686775656690,0.0,-5.0,0.0,1244.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,13.0,327999402308732,0.0,-6.0,0.0,1815.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,13.0,199607391338980,0.0,-3.0,0.0,1795.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,14.0,170568555017336,1.0,-2.0,0.0,2593.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,14.0,459561341680218,0.0,-7.0,0.0,1952.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,14.0,281376263239737,0.0,-6.0,0.0,5310.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,14.0,745921659422642,1.0,-6.0,0.0,1894.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,14.0,699740974271588,0.0,-4.0,0.0,1753.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,14.0,642065798157831,1.0,-7.0,0.0,3484.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,14.0,517686775656690,0.0,-5.0,0.0,1444.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,14.0,327999402308732,1.0,-7.0,0.0,1336.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,14.0,199607391338980,0.0,-3.0,0.0,3828.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,15.0,170568555017336,0.0,-2.0,0.0,2692.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,15.0,459561341680218,1.0,-8.0,0.0,2885.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,15.0,281376263239737,0.0,-6.0,0.0,10641.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,15.0,745921659422642,1.0,-7.0,0.0,1295.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,15.0,699740974271588,1.0,-5.0,0.0,3364.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,15.0,642065798157831,1.0,-8.0,0.0,2169.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,15.0,517686775656690,0.0,-5.0,0.0,1311.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,15.0,327999402308732,1.0,-8.0,0.0,3241.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,15.0,199607391338980,0.0,-3.0,0.0,4240.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,16.0,170568555017336,0.0,-2.0,0.0,1278.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,16.0,459561341680218,1.0,-7.0,0.0,1365.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,16.0,281376263239737,0.0,-6.0,0.0,1528.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,16.0,745921659422642,0.0,-7.0,0.0,1965.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,16.0,699740974271588,0.0,-5.0,0.0,1792.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,16.0,642065798157831,0.0,-8.0,0.0,5013.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,16.0,517686775656690,0.0,-5.0,0.0,1061.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,16.0,327999402308732,1.0,-7.0,0.0,11183.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,16.0,199607391338980,0.0,-3.0,0.0,4945.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,17.0,170568555017336,0.0,-2.0,0.0,1051.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,17.0,459561341680218,0.0,-7.0,0.0,1160.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,17.0,281376263239737,0.0,-6.0,0.0,1135.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,17.0,745921659422642,1.0,-6.0,0.0,1992.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,17.0,699740974271588,0.0,-5.0,0.0,1286.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,17.0,642065798157831,1.0,-7.0,0.0,9105.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,17.0,517686775656690,0.0,-5.0,0.0,1450.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,17.0,327999402308732,0.0,-7.0,0.0,10559.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,17.0,199607391338980,0.0,-3.0,0.0,1695.0,38,12-13-2023,9,38,0.0
