model,treatment,threshold,num_players,group,session,efficiency,bounded_efficiency,inequality,bounded_inequality,entropy,conditional_entropy,conditional_entropy_2nd_order,min_entropy
11-8-0.38,downwards,0.375,8,11,3,-0.08173076923076923,-0.21794871794871795,0.10963225241337865,0.2923526731023431,0.5837013046707139,0.02,0.0,0.0
11-8-0.62,downwards,0.625,8,11,2,0.08173076923076923,0.13076923076923078,0.1385797724740834,0.22172763595853343,0.553701304670714,0.049999999999999996,0.0,0.0
11-8-0.88,downwards,0.875,8,11,1,0.5048076923076923,0.5769230769230769,0.14009642253739685,0.1601101971855964,0.4883678482550188,0.10377443751081733,0.010416666666666666,0.010416666666666666
12-5-0.40,downwards,0.4,5,12,3,0.1,0.25,0.09653769536931642,0.24134423842329103,0.7337656874039118,0.18415640006923106,0.016666666666666666,0.016666666666666666
12-5-0.60,downwards,0.6,5,12,2,0.06153846153846154,0.10256410256410257,0.11080661762221489,0.18467769603702477,0.8194276572253374,0.14399999999999996,0.0,0.0
12-5-0.80,downwards,0.8,5,12,1,0.2230769230769231,0.27884615384615385,0.17071031554747804,0.21338789443434755,0.7186795993176242,0.22691622381280224,0.016666666666666666,0.016666666666666666
13-11-0.27,upwards,0.2727272727272727,11,13,1,-0.23426573426573427,-0.858974358974359,0.15428259771265881,0.565702858279749,0.4317827670332465,0.007272727272727273,0.0,0.0
13-11-0.45,upwards,0.4545454545454545,11,13,2,-0.36363636363636365,-0.8000000000000002,0.17571799990951442,0.38657959980093176,0.4317827670332465,0.007272727272727273,0.0,0.0
13-11-0.64,upwards,0.6363636363636364,11,13,3,0.20279720279720279,0.31868131868131866,0.1355363104375153,0.21298563068752407,0.43905549430597374,0.0,0.0,0.0
14-5-0.40,upwards,0.4,5,14,1,-0.27692307692307694,-0.6923076923076923,0.08770580193070292,0.2192645048267573,0.7973885572080297,0.13403910001730773,0.016666666666666666,0.016666666666666666
14-5-0.60,upwards,0.6,5,14,2,-0.038461538461538464,-0.06410256410256411,0.151423228346381,0.25237204724396833,0.6744650716750236,0.22379334760829678,0.06666666666666667,0.06666666666666667
14-5-0.80,upwards,0.8,5,14,3,0.5846153846153846,0.7307692307692307,0.2131060796491549,0.2663825995614436,0.5642708157113963,0.29204989941341253,0.0396240625180289,0.0396240625180289
15-4-0.25,upwards,0.25,4,15,1,-0.3269230769230769,-1.3076923076923077,0.06661733875264915,0.2664693550105966,0.9372071092548895,0.23019550008653883,0.020833333333333332,0.020833333333333332
15-4-0.50,upwards,0.5,4,15,2,-0.28846153846153844,-0.5769230769230769,0.038461538461538464,0.07692307692307693,0.8199633017840232,0.23609640474436808,0.08333333333333333,0.08333333333333333
15-4-0.75,upwards,0.75,4,15,3,0.7403846153846154,0.9871794871794872,0.2780160056692492,0.370688007558999,0.3002723987752841,0.05086166327180323,0.0503590297514234,0.0503590297514234
17-3-0.33,upwards,0.3333333333333333,3,17,1,-0.5,-1.5,0.038461538461538436,0.11538461538461531,0.9317573488325729,0.5365177461003664,0.08333333333333333,0.08333333333333333
17-3-0.67,upwards,0.6666666666666666,3,17,2,-0.0641025641025641,-0.09615384615384615,0.28350441522430747,0.4252566228364612,0.5060814574738065,0.4088923447612993,0.3220429306624038,0.3220429306624038
18-4-0.25,downwards,0.25,4,18,3,-0.17307692307692307,-0.6923076923076923,0.10175966581017658,0.4070386632407063,0.721577104421016,0.3407403392114696,0.07822682296173893,0.07822682296173893
18-4-0.50,downwards,0.5,4,18,2,-0.125,-0.25,0.16728190193204986,0.33456380386409973,0.6693941389959016,0.30164797036380536,0.12879716642291958,0.12879716642291958
18-4-0.75,downwards,0.75,4,18,1,0.27884615384615385,0.3717948717948718,0.2019993750844709,0.2693325001126279,0.6824566966918514,0.3726112492884005,0.0911967448142028,0.0911967448142028
22-3-0.33,upwards,0.3333333333333333,3,22,1,0.10256410256410256,0.3076923076923077,0.17343268280088053,0.5202980484026417,0.7926747354593444,0.4439848040379573,0.2655474372050521,0.2655474372050521
22-3-0.67,upwards,0.6666666666666666,3,22,2,-0.0641025641025641,-0.09615384615384615,0.09679274917013782,0.14518912375520673,0.819061851936843,0.5390594605716126,0.11111111111111112,0.11111111111111112
23-5-0.40,upwards,0.4,5,23,1,0.03076923076923077,0.07692307692307693,0.11344524002886636,0.2836131000721659,0.7778438874385272,0.15607820003461556,0.016666666666666666,0.016666666666666666
23-5-0.60,upwards,0.6,5,23,2,0.3230769230769231,0.5384615384615385,0.1895962699056344,0.31599378317605736,0.6714351038322991,0.19525097565253358,0.06666666666666667,0.06666666666666667
23-5-0.80,upwards,0.8,5,23,3,0.2923076923076923,0.36538461538461536,0.19911044777761205,0.24888805972201508,0.61534713697676,0.2809553238301099,0.03333333333333333,0.03333333333333333
24-3-0.33,upwards,0.3333333333333333,3,24,1,-0.24358974358974358,-0.7307692307692308,0.13507248401093255,0.4052174520327977,0.7298650065514031,0.44481320531933227,0.22222222222222218,0.22222222222222218
24-3-0.67,upwards,0.6666666666666666,3,24,2,0.44871794871794873,0.6730769230769231,0.49003884240042034,0.7350582636006306,0.30160691641646237,0.06339850002884626,0.027777777777777776,0.027777777777777776
25-4-0.25,downwards,0.25,4,25,3,0.25,1.0,0.5,2.0,0.0,0.0,0.0,0.0
25-4-0.50,downwards,0.5,4,25,2,0.11538461538461539,0.23076923076923078,0.09421114395319917,0.18842228790639834,0.7324144267623885,0.29119415478763744,0.06249999999999999,0.06249999999999999
25-4-0.75,downwards,0.75,4,25,1,0.33653846153846156,0.44871794871794873,0.11906522833978661,0.1587536377863821,0.7491259794426507,0.31219280948873623,0.08333333333333333,0.08333333333333333
26-5-0.40,downwards,0.4,5,26,3,-0.23076923076923078,-0.5769230769230769,0.14645717511276748,0.36614293778191864,0.6521851690698192,0.22691622381280224,0.049999999999999996,0.049999999999999996
26-5-0.60,downwards,0.6,5,26,2,-0.13846153846153847,-0.23076923076923078,0.06435846357954428,0.10726410596590713,0.6868159269256096,0.22007820003461553,0.03333333333333333,0.03333333333333333
26-5-0.80,downwards,0.8,5,26,1,0.46923076923076923,0.5865384615384615,0.17071031554747804,0.21338789443434752,0.6720169948498579,0.23215640006923105,0.016666666666666666,0.016666666666666666
27-4-0.25,upwards,0.25,4,27,1,-0.2403846153846154,-0.9615384615384616,0.17020407753015068,0.6808163101206027,0.7676825863156393,0.3750977500432694,0.020833333333333332,0.020833333333333332
27-4-0.50,upwards,0.5,4,27,2,-0.15384615384615385,-0.3076923076923077,0.16617283842071437,0.33234567684142874,0.6824566966918514,0.4316125945873017,0.041666666666666664,0.041666666666666664
27-4-0.75,upwards,0.75,4,27,3,0.5192307692307693,0.6923076923076924,0.23813045667957322,0.3175072755727642,0.8047530840090714,0.21874302980927224,0.16666666666666663,0.16666666666666663
29-4-0.25,upwards,0.25,4,29,1,-0.25,-1.0,0.1923076923076923,0.7692307692307692,0.6960456324996652,0.34529325012980816,0.11203007814753614,0.11203007814753614
29-4-0.50,upwards,0.5,4,29,2,-0.2403846153846154,-0.4807692307692308,0.09615384615384615,0.1923076923076923,0.8906881563937132,0.31509775004326945,0.0,0.0
29-4-0.75,upwards,0.75,4,29,3,0.16346153846153846,0.21794871794871795,0.13090114010680856,0.17453485347574474,0.6422204818294891,0.30896596952239763,0.08333333333333333,0.08333333333333333
30-3-0.33,downwards,0.3333333333333333,3,30,2,0.2948717948717949,0.8846153846153847,0.04441155916843275,0.1332346775052983,0.5878146611006237,0.057980207274623614,0.0603960492443996,0.057980207274623614
30-3-0.67,downwards,0.6666666666666666,3,30,1,0.2564102564102564,0.3846153846153846,0.11102889792108188,0.16654334688162284,0.9457285186035097,0.36812853965915754,0.15985798617120747,0.15985798617120747
31-4-0.25,upwards,0.25,4,31,1,-0.2692307692307692,-1.0769230769230769,0.08308641921035718,0.33234567684142874,0.7643941389959015,0.3797416845103708,0.020833333333333332,0.020833333333333332
31-4-0.50,upwards,0.5,4,31,2,0.009615384615384616,0.019230769230769232,0.11906522833978661,0.23813045667957322,0.8736176587002813,0.3075488750216347,0.0,0.0
31-4-0.75,upwards,0.75,4,31,3,0.47115384615384615,0.6282051282051282,0.38252637814963314,0.5100351708661776,0.4205127561297072,0.3156763141529686,0.21343984370492775,0.21343984370492775
32-7-0.43,upwards,0.4285714285714285,7,32,1,-0.4725274725274725,-1.1025641025641026,0.09346044558368553,0.21807437302859964,0.644230062480816,0.03428571428571429,0.0,0.0
32-7-0.71,upwards,0.7142857142857143,7,32,2,0.02197802197802198,0.03076923076923077,0.10141295384547347,0.14197813538366283,0.6170592767541676,0.07288507144093412,0.0,0.0
33-4-0.25,upwards,0.25,4,33,1,-0.25961538461538464,-1.0384615384615385,0.16728190193204986,0.6691276077281995,0.8816379464667679,0.24264662506490414,0.041666666666666664,0.041666666666666664
33-4-0.50,upwards,0.5,4,33,2,-0.20192307692307693,-0.40384615384615385,0.1011521399875609,0.2023042799751218,0.8229507458688904,0.28754887502163473,0.06249999999999999,0.06249999999999999
33-4-0.75,upwards,0.75,4,33,3,0.5096153846153846,0.6794871794871794,0.06568558183307432,0.08758077577743245,0.6988180116244298,0.19019550008653874,0.06629716642291958,0.06629716642291958
34-3-0.33,upwards,0.3333333333333333,3,34,1,0.14102564102564102,0.4230769230769231,0.32025630761017426,0.9607689228305228,0.5176960072928042,0.3096294105968715,0.21344535492014785,0.21344535492014785
34-3-0.67,upwards,0.6666666666666666,3,34,2,0.4230769230769231,0.6346153846153847,0.3709096446535752,0.5563644669803629,0.6131257966392942,0.3953165398899276,0.3092314237012556,0.3092314237012556
35-6-0.33,upwards,0.3333333333333333,6,35,1,-0.22435897435897437,-0.6730769230769231,0.11771157878090287,0.3531347363427086,0.6882032395321059,0.07169925001442314,0.013888888888888888,0.013888888888888888
35-6-0.50,upwards,0.5,6,35,2,-0.08974358974358974,-0.1794871794871795,0.06280742930213278,0.12561485860426555,0.6882032395321059,0.09006516669551291,0.013888888888888888,0.013888888888888888
35-6-0.67,upwards,0.6666666666666666,6,35,3,0.23076923076923078,0.3461538461538462,0.07297563831157798,0.10946345746736698,0.7382684062276187,0.05333333333333334,0.0,0.0
37-7-0.43,upwards,0.4285714285714285,7,37,1,-0.4175824175824176,-0.9743589743589746,0.14633688172482182,0.3414527240245844,0.6213729196236732,0.05714285714285714,0.0,0.0
37-7-0.71,upwards,0.7142857142857143,7,37,2,0.24175824175824176,0.3384615384615385,0.20195577966471545,0.28273809153060164,0.6399164196113105,0.038599357155219824,0.0,0.0
38-9-0.33,upwards,0.3333333333333333,9,38,1,-0.29914529914529914,-0.8974358974358975,0.16292647470690813,0.48877942412072445,0.49771277080879706,0.02666666666666667,0.0,0.0
38-9-0.56,upwards,0.5555555555555556,9,38,2,-0.042735042735042736,-0.07692307692307693,0.13105800192474917,0.23590440346454855,0.4921789374850791,0.035555555555555556,0.0,0.0
38-9-0.78,upwards,0.7777777777777778,9,38,3,0.24358974358974358,0.3131868131868132,0.21153846153846156,0.27197802197802196,0.44991327079918175,0.07782122224145309,0.0,0.0
39-8-0.38,upwards,0.375,8,39,1,-0.14903846153846154,-0.3974358974358974,0.13704633913447165,0.3654569043585911,0.5399268671598967,0.053774437510817334,0.0,0.0
39-8-0.62,upwards,0.625,8,39,2,0.2403846153846154,0.38461538461538464,0.2134033679773456,0.341445388763753,0.5183678482550186,0.049999999999999996,0.024765039073768064,0.024765039073768064
39-8-0.88,upwards,0.875,8,39,3,0.4951923076923077,0.5659340659340659,0.20397310995765794,0.23311212566589476,0.45081897323338405,0.13132331253245202,0.010416666666666666,0.010416666666666666
40-6-0.33,upwards,0.3333333333333333,6,40,1,-0.24358974358974358,-0.7307692307692308,0.10787530239980835,0.3236259071994251,0.7332358228798622,0.058365916681089786,0.0,0.0
40-6-0.50,upwards,0.5,6,40,2,-0.00641025641025641,-0.01282051282051282,0.05661385170722979,0.11322770341445958,0.751601739560952,0.04,0.0,0.0
40-6-0.67,upwards,0.6666666666666666,6,40,3,0.1858974358974359,0.27884615384615385,0.1890754000481106,0.28361310007216595,0.6431706561843494,0.14843108337660277,0.013888888888888888,0.013888888888888888
41-3-0.33,upwards,0.3333333333333333,3,41,1,-0.20512820512820512,-0.6153846153846154,0.13507248401093253,0.4052174520327977,0.9317573488325731,0.4744507856729854,0.0938178819744926,0.0938178819744926
41-3-0.67,upwards,0.6666666666666666,3,41,2,0.23076923076923078,0.3461538461538462,0.1923076923076923,0.2884615384615385,0.8976481030065665,0.5316573730790294,0.05555555555555555,0.05555555555555555
5-4-0.25,upwards,0.25,4,5,1,-0.21153846153846154,-0.8461538461538461,0.03846153846153845,0.1538461538461538,0.9216379464667678,0.23509775004326947,0.0,0.0
5-4-0.50,upwards,0.5,4,5,2,0.057692307692307696,0.11538461538461539,0.10175966581017658,0.20351933162035316,0.9447559842765242,0.22264662506490415,0.041666666666666664,0.041666666666666664
5-4-0.75,upwards,0.75,4,5,3,0.3269230769230769,0.4358974358974359,0.167649959366949,0.223533279155932,0.8073815830807687,0.26754887502163466,0.04953007814753613,0.04953007814753613
7-8-0.38,downwards,0.375,8,7,3,-0.14423076923076922,-0.3846153846153846,0.10432328322004135,0.2781954219201102,0.5837013046707139,0.01,0.0,0.0
7-8-0.62,downwards,0.625,8,7,2,0.014423076923076924,0.023076923076923078,0.06799103665255266,0.10878565864408425,0.5599268671598967,0.030000000000000002,0.0,0.0
7-8-0.88,downwards,0.875,8,7,1,0.40384615384615385,0.46153846153846156,0.1906522150867854,0.21788824581346902,0.5145934107442013,0.06377443751081735,0.010416666666666666,0.010416666666666666
9-12-0.25,upwards,0.25,12,9,1,-0.38461538461538464,-1.5384615384615385,0.1312004408342218,0.5248017633368872,0.4024675364471426,0.0,0.0,0.0
9-12-0.50,upwards,0.5,12,9,2,-0.035256410256410256,-0.07051282051282051,0.10811397634413218,0.21622795268826436,0.38913420311380925,0.013333333333333334,0.0,0.0
9-12-0.75,upwards,0.75,12,9,3,0.266025641025641,0.3547008547008547,0.17236320076600964,0.22981760102134619,0.38246753644714265,0.02,0.0,0.0
Grupo-0001-2-0.50,score + grid,0.5,2,0001,1,0.5,1.0,0.0,0.0,0.5,0.4262345763272596,0.375,0.375
Grupo-0002-2-0.50,score + grid,0.5,2,0002,1,0.09615384615384616,0.19230769230769232,0.24476773194918952,0.48953546389837904,0.9126483562272829,0.6105865002596162,0.40093984370492775,0.40093984370492775
Grupo-0003-2-0.50,score + grid,0.5,2,0003,1,0.3269230769230769,0.6538461538461539,0.6255175372034844,1.2510350744069687,0.652338956780967,0.5698044999134613,0.4268796874098554,0.4268796874098554
Grupo-0004-2-0.50,score + grid,0.5,2,0004,1,0.09615384615384616,0.19230769230769232,0.40794621991531593,0.8158924398306319,0.7340391446264788,0.574022793943064,0.46966610001423614,0.46966610001423614
Grupo-0005-2-0.50,score + grid,0.5,2,0005,1,0.5,1.0,0.0,0.0,0.49072694751682683,0.2509922225823502,0.23373501976820046,0.23373501976820046
Grupo-0006-2-0.50,score + grid,0.5,2,0006,1,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0
Grupo-0007-2-0.50,score + grid,0.5,2,0007,1,0.07692307692307693,0.15384615384615385,0.16317848796612636,0.3263569759322527,0.9581665418204557,0.7856842503028856,0.32312031259014456,0.32312031259014456
Grupo-0008-2-0.50,score + grid,0.5,2,0008,1,0.36538461538461536,0.7307692307692307,0.02719641466102108,0.05439282932204216,0.7591221862107098,0.3809769116811783,0.22662167830369961,0.22662167830369961
Grupo-0009-2-0.50,score + grid,0.5,2,0009,1,0.4807692307692308,0.9615384615384616,0.027196414661021042,0.054392829322042084,0.556758127543149,0.5359931265604325,0.4432771341461892,0.4432771341461892
Grupo-0010-2-0.50,score + grid,0.5,2,0010,1,-0.09615384615384616,-0.19230769230769232,0.19037490262714743,0.38074980525429486,0.9691673345127296,0.8158797503894243,0.3647869792568111,0.3647869792568111
Grupo-0011-2-0.50,only score,0.5,2,0011,1,0.36538461538461536,0.7307692307692307,0.1359820733051053,0.2719641466102106,0.7437032222867304,0.46747832839949943,0.3625590495607569,0.3625590495607569
Grupo-0012-2-0.50,only score,0.5,2,0012,1,0.4423076923076923,0.8846153846153846,0.02719641466102108,0.05439282932204216,0.5860073787460852,0.5476815597050831,0.5131081350643893,0.5131081350643893
Grupo-0013-2-0.50,only score,0.5,2,0013,1,0.17307692307692307,0.34615384615384615,0.08158924398306318,0.16317848796612636,0.9395426217606131,0.6610896782498619,0.5110276044371002,0.5110276044371002
Grupo-0014-2-0.50,only score,0.5,2,0014,1,0.5,1.0,0.0,0.0,0.49072694751682683,0.48804526701214085,0.3843378320111065,0.3843378320111065
Grupo-0015-2-0.50,only score,0.5,2,0015,1,0.38461538461538464,0.7692307692307693,0.0,0.0,0.6610895951011364,0.5076542668390633,0.45712455228867793,0.45712455228867793
Grupo-0016-2-0.50,only score,0.5,2,0016,1,0.36538461538461536,0.7307692307692307,0.02719641466102108,0.05439282932204216,0.7074367068242364,0.5089241616271454,0.3501799022327861,0.3501799022327861
