,treatment,threshold,round,session,player,decision,score,num_players,group,choice,approx_threshold,absolute_round
8910,upwards,0.25,0,1,841658927890285,0.0,0.0,4,5,0.0,0.25,1.0
8911,upwards,0.25,0,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,1.0
8912,upwards,0.25,0,1,477327368780915,0.0,0.0,4,5,0.0,0.25,1.0
8913,upwards,0.25,0,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,1.0
8914,upwards,0.25,1,1,841658927890285,1.0,-1.0,4,5,1.0,0.25,2.0
8915,upwards,0.25,1,1,373455036275630,0.0,0.0,4,5,0.0,0.25,2.0
8916,upwards,0.25,1,1,477327368780915,0.0,0.0,4,5,0.0,0.25,2.0
8917,upwards,0.25,1,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,2.0
8918,upwards,0.25,2,1,841658927890285,0.0,0.0,4,5,0.0,0.25,3.0
8919,upwards,0.25,2,1,373455036275630,0.0,0.0,4,5,0.0,0.25,3.0
8920,upwards,0.25,2,1,477327368780915,0.0,0.0,4,5,0.0,0.25,3.0
8921,upwards,0.25,2,1,616876846241757,0.0,0.0,4,5,0.0,0.25,3.0
8922,upwards,0.25,3,1,841658927890285,0.0,0.0,4,5,0.0,0.25,4.0
8923,upwards,0.25,3,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,4.0
8924,upwards,0.25,3,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,4.0
8925,upwards,0.25,3,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,4.0
8926,upwards,0.25,4,1,841658927890285,1.0,-1.0,4,5,1.0,0.25,5.0
8927,upwards,0.25,4,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,5.0
8928,upwards,0.25,4,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,5.0
8929,upwards,0.25,4,1,616876846241757,0.0,0.0,4,5,0.0,0.25,5.0
8930,upwards,0.25,5,1,841658927890285,0.0,0.0,4,5,0.0,0.25,6.0
8931,upwards,0.25,5,1,373455036275630,0.0,0.0,4,5,0.0,0.25,6.0
8932,upwards,0.25,5,1,477327368780915,0.0,0.0,4,5,0.0,0.25,6.0
8933,upwards,0.25,5,1,616876846241757,0.0,0.0,4,5,0.0,0.25,6.0
8934,upwards,0.25,6,1,841658927890285,0.0,0.0,4,5,0.0,0.25,7.0
8935,upwards,0.25,6,1,373455036275630,0.0,0.0,4,5,0.0,0.25,7.0
8936,upwards,0.25,6,1,477327368780915,0.0,0.0,4,5,0.0,0.25,7.0
8937,upwards,0.25,6,1,616876846241757,0.0,0.0,4,5,0.0,0.25,7.0
8938,upwards,0.25,7,1,841658927890285,0.0,0.0,4,5,0.0,0.25,8.0
8939,upwards,0.25,7,1,373455036275630,0.0,0.0,4,5,0.0,0.25,8.0
8940,upwards,0.25,7,1,477327368780915,1.0,1.0,4,5,1.0,0.25,8.0
8941,upwards,0.25,7,1,616876846241757,0.0,0.0,4,5,0.0,0.25,8.0
8942,upwards,0.25,8,1,841658927890285,1.0,-1.0,4,5,1.0,0.25,9.0
8943,upwards,0.25,8,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,9.0
8944,upwards,0.25,8,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,9.0
8945,upwards,0.25,8,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,9.0
8946,upwards,0.25,9,1,841658927890285,0.0,0.0,4,5,0.0,0.25,10.0
8947,upwards,0.25,9,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,10.0
8948,upwards,0.25,9,1,477327368780915,0.0,0.0,4,5,0.0,0.25,10.0
8949,upwards,0.25,9,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,10.0
8950,upwards,0.25,10,1,841658927890285,0.0,0.0,4,5,0.0,0.25,11.0
8951,upwards,0.25,10,1,373455036275630,0.0,0.0,4,5,0.0,0.25,11.0
8952,upwards,0.25,10,1,477327368780915,0.0,0.0,4,5,0.0,0.25,11.0
8953,upwards,0.25,10,1,616876846241757,1.0,1.0,4,5,1.0,0.25,11.0
8954,upwards,0.25,11,1,841658927890285,0.0,0.0,4,5,0.0,0.25,12.0
8955,upwards,0.25,11,1,373455036275630,0.0,0.0,4,5,0.0,0.25,12.0
8956,upwards,0.25,11,1,477327368780915,1.0,1.0,4,5,1.0,0.25,12.0
8957,upwards,0.25,11,1,616876846241757,0.0,0.0,4,5,0.0,0.25,12.0
8958,upwards,0.25,12,1,841658927890285,0.0,0.0,4,5,0.0,0.25,13.0
8959,upwards,0.25,12,1,373455036275630,0.0,0.0,4,5,0.0,0.25,13.0
8960,upwards,0.25,12,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,13.0
