,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,cea18ae4-6433-11f0-b674-beb3bfa57af1,0,"[0, 0]",0,0,0,,0.5,2
1,cea18ae4-6433-11f0-b674-beb3bfa57af1,0,"[0, 0]",1,0,0,,0.5,2
2,cea18ae4-6433-11f0-b674-beb3bfa57af1,1,"[1, 1]",0,1,-1,,0.5,2
3,cea18ae4-6433-11f0-b674-beb3bfa57af1,1,"[1, 1]",1,1,-1,,0.5,2
4,cea18ae4-6433-11f0-b674-beb3bfa57af1,2,"[0, 1]",0,0,0,,0.5,2
5,cea18ae4-6433-11f0-b674-beb3bfa57af1,2,"[0, 1]",1,1,1,,0.5,2
6,cea18ae4-6433-11f0-b674-beb3bfa57af1,3,"[1, 0]",0,1,1,,0.5,2
7,cea18ae4-6433-11f0-b674-beb3bfa57af1,3,"[1, 0]",1,0,0,,0.5,2
8,cea18ae4-6433-11f0-b674-beb3bfa57af1,4,"[1, 1]",0,1,-1,,0.5,2
9,cea18ae4-6433-11f0-b674-beb3bfa57af1,4,"[1, 1]",1,1,-1,,0.5,2
10,cea18ae4-6433-11f0-b674-beb3bfa57af1,5,"[0, 1]",0,0,0,,0.5,2
11,cea18ae4-6433-11f0-b674-beb3bfa57af1,5,"[0, 1]",1,1,1,,0.5,2
12,cea18ae4-6433-11f0-b674-beb3bfa57af1,6,"[1, 1]",0,1,-1,,0.5,2
13,cea18ae4-6433-11f0-b674-beb3bfa57af1,6,"[1, 1]",1,1,-1,,0.5,2
14,cea18ae4-6433-11f0-b674-beb3bfa57af1,7,"[1, 1]",0,1,-1,,0.5,2
15,cea18ae4-6433-11f0-b674-beb3bfa57af1,7,"[1, 1]",1,1,-1,,0.5,2
16,cea18ae4-6433-11f0-b674-beb3bfa57af1,8,"[0, 0]",0,0,0,,0.5,2
17,cea18ae4-6433-11f0-b674-beb3bfa57af1,8,"[0, 0]",1,0,0,,0.5,2
18,cea18ae4-6433-11f0-b674-beb3bfa57af1,9,"[1, 1]",0,1,-1,,0.5,2
19,cea18ae4-6433-11f0-b674-beb3bfa57af1,9,"[1, 1]",1,1,-1,,0.5,2
20,cea18ae4-6433-11f0-b674-beb3bfa57af1,10,"[0, 1]",0,0,0,,0.5,2
21,cea18ae4-6433-11f0-b674-beb3bfa57af1,10,"[0, 1]",1,1,1,,0.5,2
22,cea18ae4-6433-11f0-b674-beb3bfa57af1,11,"[1, 1]",0,1,-1,,0.5,2
23,cea18ae4-6433-11f0-b674-beb3bfa57af1,11,"[1, 1]",1,1,-1,,0.5,2
24,cea18ae4-6433-11f0-b674-beb3bfa57af1,12,"[0, 1]",0,0,0,,0.5,2
25,cea18ae4-6433-11f0-b674-beb3bfa57af1,12,"[0, 1]",1,1,1,,0.5,2
26,cea18ae4-6433-11f0-b674-beb3bfa57af1,13,"[1, 1]",0,1,-1,,0.5,2
27,cea18ae4-6433-11f0-b674-beb3bfa57af1,13,"[1, 1]",1,1,-1,,0.5,2
28,cea18ae4-6433-11f0-b674-beb3bfa57af1,14,"[0, 1]",0,0,0,,0.5,2
29,cea18ae4-6433-11f0-b674-beb3bfa57af1,14,"[0, 1]",1,1,1,,0.5,2
30,cea18ae4-6433-11f0-b674-beb3bfa57af1,15,"[1, 1]",0,1,-1,,0.5,2
31,cea18ae4-6433-11f0-b674-beb3bfa57af1,15,"[1, 1]",1,1,-1,,0.5,2
32,cea18ae4-6433-11f0-b674-beb3bfa57af1,16,"[0, 1]",0,0,0,,0.5,2
33,cea18ae4-6433-11f0-b674-beb3bfa57af1,16,"[0, 1]",1,1,1,,0.5,2
34,cea18ae4-6433-11f0-b674-beb3bfa57af1,17,"[1, 1]",0,1,-1,,0.5,2
35,cea18ae4-6433-11f0-b674-beb3bfa57af1,17,"[1, 1]",1,1,-1,,0.5,2
36,cea18ae4-6433-11f0-b674-beb3bfa57af1,18,"[0, 1]",0,0,0,,0.5,2
37,cea18ae4-6433-11f0-b674-beb3bfa57af1,18,"[0, 1]",1,1,1,,0.5,2
38,cea18ae4-6433-11f0-b674-beb3bfa57af1,19,"[1, 1]",0,1,-1,,0.5,2
39,cea18ae4-6433-11f0-b674-beb3bfa57af1,19,"[1, 1]",1,1,-1,,0.5,2
40,cea18ae4-6433-11f0-b674-beb3bfa57af1,20,"[0, 1]",0,0,0,,0.5,2
41,cea18ae4-6433-11f0-b674-beb3bfa57af1,20,"[0, 1]",1,1,1,,0.5,2
42,cea18ae4-6433-11f0-b674-beb3bfa57af1,21,"[1, 0]",0,1,1,,0.5,2
43,cea18ae4-6433-11f0-b674-beb3bfa57af1,21,"[1, 0]",1,0,0,,0.5,2
44,cea18ae4-6433-11f0-b674-beb3bfa57af1,22,"[1, 1]",0,1,-1,,0.5,2
45,cea18ae4-6433-11f0-b674-beb3bfa57af1,22,"[1, 1]",1,1,-1,,0.5,2
46,cea18ae4-6433-11f0-b674-beb3bfa57af1,23,"[0, 0]",0,0,0,,0.5,2
47,cea18ae4-6433-11f0-b674-beb3bfa57af1,23,"[0, 0]",1,0,0,,0.5,2
48,cea18ae4-6433-11f0-b674-beb3bfa57af1,24,"[1, 1]",0,1,-1,,0.5,2
49,cea18ae4-6433-11f0-b674-beb3bfa57af1,24,"[1, 1]",1,1,-1,,0.5,2
50,cea18ae4-6433-11f0-b674-beb3bfa57af1,25,"[0, 1]",0,0,0,,0.5,2
51,cea18ae4-6433-11f0-b674-beb3bfa57af1,25,"[0, 1]",1,1,1,,0.5,2
52,cea18ae4-6433-11f0-b674-beb3bfa57af1,26,"[1, 1]",0,1,-1,,0.5,2
53,cea18ae4-6433-11f0-b674-beb3bfa57af1,26,"[1, 1]",1,1,-1,,0.5,2
54,cea18ae4-6433-11f0-b674-beb3bfa57af1,27,"[0, 1]",0,0,0,,0.5,2
55,cea18ae4-6433-11f0-b674-beb3bfa57af1,27,"[0, 1]",1,1,1,,0.5,2
56,cea18ae4-6433-11f0-b674-beb3bfa57af1,28,"[1, 1]",0,1,-1,,0.5,2
57,cea18ae4-6433-11f0-b674-beb3bfa57af1,28,"[1, 1]",1,1,-1,,0.5,2
58,cea18ae4-6433-11f0-b674-beb3bfa57af1,29,"[0, 1]",0,0,0,,0.5,2
59,cea18ae4-6433-11f0-b674-beb3bfa57af1,29,"[0, 1]",1,1,1,,0.5,2
60,cea18ae4-6433-11f0-b674-beb3bfa57af1,30,"[1, 1]",0,1,-1,,0.5,2
61,cea18ae4-6433-11f0-b674-beb3bfa57af1,30,"[1, 1]",1,1,-1,,0.5,2
62,cea18ae4-6433-11f0-b674-beb3bfa57af1,31,"[0, 1]",0,0,0,,0.5,2
63,cea18ae4-6433-11f0-b674-beb3bfa57af1,31,"[0, 1]",1,1,1,,0.5,2
64,cea18ae4-6433-11f0-b674-beb3bfa57af1,32,"[1, 1]",0,1,-1,,0.5,2
65,cea18ae4-6433-11f0-b674-beb3bfa57af1,32,"[1, 1]",1,1,-1,,0.5,2
66,cea18ae4-6433-11f0-b674-beb3bfa57af1,33,"[0, 1]",0,0,0,,0.5,2
67,cea18ae4-6433-11f0-b674-beb3bfa57af1,33,"[0, 1]",1,1,1,,0.5,2
68,cea18ae4-6433-11f0-b674-beb3bfa57af1,34,"[1, 1]",0,1,-1,,0.5,2
69,cea18ae4-6433-11f0-b674-beb3bfa57af1,34,"[1, 1]",1,1,-1,,0.5,2
70,cea18ae4-6433-11f0-b674-beb3bfa57af1,35,"[1, 1]",0,1,-1,,0.5,2
71,cea18ae4-6433-11f0-b674-beb3bfa57af1,35,"[1, 1]",1,1,-1,,0.5,2
72,cea18ae4-6433-11f0-b674-beb3bfa57af1,36,"[0, 1]",0,0,0,,0.5,2
73,cea18ae4-6433-11f0-b674-beb3bfa57af1,36,"[0, 1]",1,1,1,,0.5,2
74,cea18ae4-6433-11f0-b674-beb3bfa57af1,37,"[1, 1]",0,1,-1,,0.5,2
75,cea18ae4-6433-11f0-b674-beb3bfa57af1,37,"[1, 1]",1,1,-1,,0.5,2
76,cea18ae4-6433-11f0-b674-beb3bfa57af1,38,"[0, 1]",0,0,0,,0.5,2
77,cea18ae4-6433-11f0-b674-beb3bfa57af1,38,"[0, 1]",1,1,1,,0.5,2
78,cea18ae4-6433-11f0-b674-beb3bfa57af1,39,"[1, 1]",0,1,-1,,0.5,2
79,cea18ae4-6433-11f0-b674-beb3bfa57af1,39,"[1, 1]",1,1,-1,,0.5,2
80,cea18ae4-6433-11f0-b674-beb3bfa57af1,40,"[1, 1]",0,1,-1,,0.5,2
81,cea18ae4-6433-11f0-b674-beb3bfa57af1,40,"[1, 1]",1,1,-1,,0.5,2
82,cea18ae4-6433-11f0-b674-beb3bfa57af1,41,"[0, 1]",0,0,0,,0.5,2
83,cea18ae4-6433-11f0-b674-beb3bfa57af1,41,"[0, 1]",1,1,1,,0.5,2
84,cea18ae4-6433-11f0-b674-beb3bfa57af1,42,"[1, 1]",0,1,-1,,0.5,2
85,cea18ae4-6433-11f0-b674-beb3bfa57af1,42,"[1, 1]",1,1,-1,,0.5,2
86,cea18ae4-6433-11f0-b674-beb3bfa57af1,43,"[0, 1]",0,0,0,,0.5,2
87,cea18ae4-6433-11f0-b674-beb3bfa57af1,43,"[0, 1]",1,1,1,,0.5,2
88,cea18ae4-6433-11f0-b674-beb3bfa57af1,44,"[1, 1]",0,1,-1,,0.5,2
89,cea18ae4-6433-11f0-b674-beb3bfa57af1,44,"[1, 1]",1,1,-1,,0.5,2
