,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",0,0,0,,0.625,8
1,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",1,0,0,,0.625,8
2,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",2,1,1,,0.625,8
3,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",3,1,1,,0.625,8
4,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",4,0,0,,0.625,8
5,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",5,0,0,,0.625,8
6,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",6,1,1,,0.625,8
7,1ab36fd2-8220-11f1-b0da-2389f409459f,0,"[0, 0, 1, 1, 0, 0, 1, 1]",7,1,1,,0.625,8
8,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",0,0,0,,0.625,8
9,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",1,0,0,,0.625,8
10,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",2,0,0,,0.625,8
11,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",3,1,1,,0.625,8
12,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",4,0,0,,0.625,8
13,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",5,1,1,,0.625,8
14,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",6,1,1,,0.625,8
15,1ab36fd2-8220-11f1-b0da-2389f409459f,1,"[0, 0, 0, 1, 0, 1, 1, 1]",7,1,1,,0.625,8
16,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",0,0,0,,0.625,8
17,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",1,0,0,,0.625,8
18,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",2,0,0,,0.625,8
19,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",3,1,1,,0.625,8
20,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",4,1,1,,0.625,8
21,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",5,1,1,,0.625,8
22,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",6,1,1,,0.625,8
23,1ab36fd2-8220-11f1-b0da-2389f409459f,2,"[0, 0, 0, 1, 1, 1, 1, 0]",7,0,0,,0.625,8
24,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",0,1,-1,,0.625,8
25,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",1,1,-1,,0.625,8
26,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",2,1,-1,,0.625,8
27,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",3,1,-1,,0.625,8
28,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",4,0,0,,0.625,8
29,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",5,1,-1,,0.625,8
30,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",6,0,0,,0.625,8
31,1ab36fd2-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 1, 0, 1, 0, 1]",7,1,-1,,0.625,8
32,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",0,1,1,,0.625,8
33,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",1,1,1,,0.625,8
34,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",2,1,1,,0.625,8
35,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",3,0,0,,0.625,8
36,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",4,1,1,,0.625,8
37,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",5,0,0,,0.625,8
38,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",6,0,0,,0.625,8
39,1ab36fd2-8220-11f1-b0da-2389f409459f,4,"[1, 1, 1, 0, 1, 0, 0, 1]",7,1,1,,0.625,8
40,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",0,1,1,,0.625,8
41,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",1,1,1,,0.625,8
42,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",2,0,0,,0.625,8
43,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",3,1,1,,0.625,8
44,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",4,0,0,,0.625,8
45,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",5,1,1,,0.625,8
46,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",6,1,1,,0.625,8
47,1ab36fd2-8220-11f1-b0da-2389f409459f,5,"[1, 1, 0, 1, 0, 1, 1, 0]",7,0,0,,0.625,8
48,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",0,1,1,,0.625,8
49,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",1,1,1,,0.625,8
50,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",2,0,0,,0.625,8
51,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",3,0,0,,0.625,8
52,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",4,1,1,,0.625,8
53,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",5,1,1,,0.625,8
54,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",6,1,1,,0.625,8
55,1ab36fd2-8220-11f1-b0da-2389f409459f,6,"[1, 1, 0, 0, 1, 1, 1, 0]",7,0,0,,0.625,8
56,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",0,1,-1,,0.625,8
57,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",1,1,-1,,0.625,8
58,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",2,0,0,,0.625,8
59,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",3,1,-1,,0.625,8
60,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",4,1,-1,,0.625,8
61,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",5,1,-1,,0.625,8
62,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",6,1,-1,,0.625,8
63,1ab36fd2-8220-11f1-b0da-2389f409459f,7,"[1, 1, 0, 1, 1, 1, 1, 1]",7,1,-1,,0.625,8
64,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",0,1,1,,0.625,8
65,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",1,0,0,,0.625,8
66,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",2,0,0,,0.625,8
67,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",3,0,0,,0.625,8
68,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",4,0,0,,0.625,8
69,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",5,0,0,,0.625,8
70,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",6,0,0,,0.625,8
71,1ab36fd2-8220-11f1-b0da-2389f409459f,8,"[1, 0, 0, 0, 0, 0, 0, 0]",7,0,0,,0.625,8
72,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",0,1,-1,,0.625,8
73,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",1,1,-1,,0.625,8
74,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",2,0,0,,0.625,8
75,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",3,1,-1,,0.625,8
76,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",4,1,-1,,0.625,8
77,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",5,1,-1,,0.625,8
78,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",6,1,-1,,0.625,8
79,1ab36fd2-8220-11f1-b0da-2389f409459f,9,"[1, 1, 0, 1, 1, 1, 1, 1]",7,1,-1,,0.625,8
80,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,,0.625,8
81,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",1,0,0,,0.625,8
82,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",2,0,0,,0.625,8
83,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",3,1,1,,0.625,8
84,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",4,0,0,,0.625,8
85,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",5,1,1,,0.625,8
86,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",6,0,0,,0.625,8
87,1ab4bd38-8220-11f1-b0da-2389f409459f,0,"[0, 0, 0, 1, 0, 1, 0, 0]",7,0,0,,0.625,8
88,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",0,0,0,,0.625,8
89,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",1,0,0,,0.625,8
90,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",2,1,1,,0.625,8
91,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",3,1,1,,0.625,8
92,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",4,1,1,,0.625,8
93,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",5,0,0,,0.625,8
94,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",6,1,1,,0.625,8
95,1ab4bd38-8220-11f1-b0da-2389f409459f,1,"[0, 0, 1, 1, 1, 0, 1, 0]",7,0,0,,0.625,8
96,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",0,0,0,,0.625,8
97,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",1,0,0,,0.625,8
98,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",2,1,1,,0.625,8
99,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",3,0,0,,0.625,8
100,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",4,0,0,,0.625,8
101,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",5,1,1,,0.625,8
102,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",6,1,1,,0.625,8
103,1ab4bd38-8220-11f1-b0da-2389f409459f,2,"[0, 0, 1, 0, 0, 1, 1, 1]",7,1,1,,0.625,8
104,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",0,1,1,,0.625,8
105,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",1,1,1,,0.625,8
106,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",2,1,1,,0.625,8
107,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",3,0,0,,0.625,8
108,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",4,0,0,,0.625,8
109,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",5,0,0,,0.625,8
110,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",6,0,0,,0.625,8
111,1ab4bd38-8220-11f1-b0da-2389f409459f,3,"[1, 1, 1, 0, 0, 0, 0, 0]",7,0,0,,0.625,8
112,1ab4bd38-8220-11f1-b0da-2389f409459f,4,"[0, 1, 0, 0, 1, 0, 0, 1]",0,0,0,,0.625,8
113,1ab4bd38-8220-11f1-b0da-2389f409459f,4,"[0, 1, 0, 0, 1, 0, 0, 1]",1,1,1,,0.625,8
