,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",0,0,0,,0.3333333333333333,9
1,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",1,0,0,,0.3333333333333333,9
2,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",2,1,-1,,0.3333333333333333,9
3,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",3,1,-1,,0.3333333333333333,9
4,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",4,0,0,,0.3333333333333333,9
5,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",5,0,0,,0.3333333333333333,9
6,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",6,1,-1,,0.3333333333333333,9
7,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",7,1,-1,,0.3333333333333333,9
8,e0cbb97e-066e-11f0-8131-beb3bfa57af1,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0]",8,0,0,,0.3333333333333333,9
9,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",0,0,0,,0.3333333333333333,9
10,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",1,0,0,,0.3333333333333333,9
11,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",2,0,0,,0.3333333333333333,9
12,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",3,0,0,,0.3333333333333333,9
13,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",4,1,1,,0.3333333333333333,9
14,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",5,1,1,,0.3333333333333333,9
15,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",6,1,1,,0.3333333333333333,9
16,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",7,0,0,,0.3333333333333333,9
17,e0cbb97e-066e-11f0-8131-beb3bfa57af1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",8,0,0,,0.3333333333333333,9
18,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",0,1,-1,,0.3333333333333333,9
19,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",1,0,0,,0.3333333333333333,9
20,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",2,0,0,,0.3333333333333333,9
21,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",3,1,-1,,0.3333333333333333,9
22,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",4,0,0,,0.3333333333333333,9
23,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",5,0,0,,0.3333333333333333,9
24,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",6,1,-1,,0.3333333333333333,9
25,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",7,0,0,,0.3333333333333333,9
26,e0cbb97e-066e-11f0-8131-beb3bfa57af1,2,"[1, 0, 0, 1, 0, 0, 1, 0, 1]",8,1,-1,,0.3333333333333333,9
27,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",0,1,-1,,0.3333333333333333,9
28,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",1,0,0,,0.3333333333333333,9
29,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",2,1,-1,,0.3333333333333333,9
30,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",3,1,-1,,0.3333333333333333,9
31,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",4,1,-1,,0.3333333333333333,9
32,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",5,1,-1,,0.3333333333333333,9
33,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",6,1,-1,,0.3333333333333333,9
34,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",7,0,0,,0.3333333333333333,9
35,e0cbb97e-066e-11f0-8131-beb3bfa57af1,3,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",8,1,-1,,0.3333333333333333,9
36,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",0,1,-1,,0.3333333333333333,9
37,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",1,1,-1,,0.3333333333333333,9
38,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",2,1,-1,,0.3333333333333333,9
39,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",3,1,-1,,0.3333333333333333,9
40,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",4,1,-1,,0.3333333333333333,9
41,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",5,1,-1,,0.3333333333333333,9
42,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",6,1,-1,,0.3333333333333333,9
43,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",7,1,-1,,0.3333333333333333,9
44,e0cbb97e-066e-11f0-8131-beb3bfa57af1,4,"[1, 1, 1, 1, 1, 1, 1, 1, 0]",8,0,0,,0.3333333333333333,9
45,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,1,,0.3333333333333333,9
46,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",1,0,0,,0.3333333333333333,9
47,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",2,0,0,,0.3333333333333333,9
48,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",3,0,0,,0.3333333333333333,9
49,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",4,1,1,,0.3333333333333333,9
50,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",5,0,0,,0.3333333333333333,9
51,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",6,0,0,,0.3333333333333333,9
52,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",7,0,0,,0.3333333333333333,9
53,e0cbb97e-066e-11f0-8131-beb3bfa57af1,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",8,0,0,,0.3333333333333333,9
54,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",0,0,0,,0.3333333333333333,9
55,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",1,1,1,,0.3333333333333333,9
56,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",2,0,0,,0.3333333333333333,9
57,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",3,0,0,,0.3333333333333333,9
58,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",4,0,0,,0.3333333333333333,9
59,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",5,0,0,,0.3333333333333333,9
60,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",6,0,0,,0.3333333333333333,9
61,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",7,1,1,,0.3333333333333333,9
62,e0cbb97e-066e-11f0-8131-beb3bfa57af1,6,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",8,1,1,,0.3333333333333333,9
63,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",0,0,0,,0.3333333333333333,9
64,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",1,1,-1,,0.3333333333333333,9
65,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",2,1,-1,,0.3333333333333333,9
66,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",3,0,0,,0.3333333333333333,9
67,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",4,1,-1,,0.3333333333333333,9
68,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",5,0,0,,0.3333333333333333,9
69,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",6,1,-1,,0.3333333333333333,9
70,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",7,1,-1,,0.3333333333333333,9
71,e0cbb97e-066e-11f0-8131-beb3bfa57af1,7,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",8,1,-1,,0.3333333333333333,9
72,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",0,1,-1,,0.3333333333333333,9
73,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",1,1,-1,,0.3333333333333333,9
74,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",2,0,0,,0.3333333333333333,9
75,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",3,0,0,,0.3333333333333333,9
76,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",4,1,-1,,0.3333333333333333,9
77,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",5,1,-1,,0.3333333333333333,9
78,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",6,0,0,,0.3333333333333333,9
79,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",7,0,0,,0.3333333333333333,9
80,e0cbb97e-066e-11f0-8131-beb3bfa57af1,8,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",8,0,0,,0.3333333333333333,9
81,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",0,0,0,,0.3333333333333333,9
82,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",1,0,0,,0.3333333333333333,9
83,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",2,0,0,,0.3333333333333333,9
84,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",3,1,-1,,0.3333333333333333,9
85,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",4,1,-1,,0.3333333333333333,9
86,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",5,0,0,,0.3333333333333333,9
87,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",6,1,-1,,0.3333333333333333,9
88,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",7,1,-1,,0.3333333333333333,9
89,e0cbb97e-066e-11f0-8131-beb3bfa57af1,9,"[0, 0, 0, 1, 1, 0, 1, 1, 0]",8,0,0,,0.3333333333333333,9
90,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",0,0,0,,0.3333333333333333,9
91,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",1,0,0,,0.3333333333333333,9
92,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",2,0,0,,0.3333333333333333,9
93,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",3,1,-1,,0.3333333333333333,9
94,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",4,0,0,,0.3333333333333333,9
95,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",5,1,-1,,0.3333333333333333,9
96,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",6,0,0,,0.3333333333333333,9
97,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",7,1,-1,,0.3333333333333333,9
98,e0cbb97e-066e-11f0-8131-beb3bfa57af1,10,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",8,1,-1,,0.3333333333333333,9
99,e0cbb97e-066e-11f0-8131-beb3bfa57af1,11,"[1, 1, 1, 1, 1, 1, 0, 0, 0]",0,1,-1,,0.3333333333333333,9
100,e0cbb97e-066e-11f0-8131-beb3bfa57af1,11,"[1, 1, 1, 1, 1, 1, 0, 0, 0]",1,1,-1,,0.3333333333333333,9
101,e0cbb97e-066e-11f0-8131-beb3bfa57af1,11,"[1, 1, 1, 1, 1, 1, 0, 0, 0]",2,1,-1,,0.3333333333333333,9
102,e0cbb97e-066e-11f0-8131-beb3bfa57af1,11,"[1, 1, 1, 1, 1, 1, 0, 0, 0]",3,1,-1,,0.3333333333333333,9
103,e0cbb97e-066e-11f0-8131-beb3bfa57af1,11,"[1, 1, 1, 1, 1, 1, 0, 0, 0]",4,1,-1,,0.3333333333333333,9
104,e0cbb97e-066e-11f0-8131-beb3bfa57af1,11,"[1, 1, 1, 1, 1, 1, 0, 0, 0]",5,1,-1,,0.3333333333333333,9
