,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,2a088dea-5e96-11f0-9dda-beb3bfa57af1,0,"[0, 0]",0,0,0,,0.5,2
1,2a088dea-5e96-11f0-9dda-beb3bfa57af1,0,"[0, 0]",1,0,0,,0.5,2
2,2a088dea-5e96-11f0-9dda-beb3bfa57af1,1,"[1, 1]",0,1,-1,,0.5,2
3,2a088dea-5e96-11f0-9dda-beb3bfa57af1,1,"[1, 1]",1,1,-1,,0.5,2
4,2a088dea-5e96-11f0-9dda-beb3bfa57af1,2,"[1, 0]",0,1,1,,0.5,2
5,2a088dea-5e96-11f0-9dda-beb3bfa57af1,2,"[1, 0]",1,0,0,,0.5,2
6,2a088dea-5e96-11f0-9dda-beb3bfa57af1,3,"[0, 1]",0,0,0,,0.5,2
7,2a088dea-5e96-11f0-9dda-beb3bfa57af1,3,"[0, 1]",1,1,1,,0.5,2
8,2a088dea-5e96-11f0-9dda-beb3bfa57af1,4,"[1, 0]",0,1,1,,0.5,2
9,2a088dea-5e96-11f0-9dda-beb3bfa57af1,4,"[1, 0]",1,0,0,,0.5,2
10,2a088dea-5e96-11f0-9dda-beb3bfa57af1,5,"[0, 1]",0,0,0,,0.5,2
11,2a088dea-5e96-11f0-9dda-beb3bfa57af1,5,"[0, 1]",1,1,1,,0.5,2
12,2a088dea-5e96-11f0-9dda-beb3bfa57af1,6,"[1, 0]",0,1,1,,0.5,2
13,2a088dea-5e96-11f0-9dda-beb3bfa57af1,6,"[1, 0]",1,0,0,,0.5,2
14,2a088dea-5e96-11f0-9dda-beb3bfa57af1,7,"[0, 1]",0,0,0,,0.5,2
15,2a088dea-5e96-11f0-9dda-beb3bfa57af1,7,"[0, 1]",1,1,1,,0.5,2
16,2a088dea-5e96-11f0-9dda-beb3bfa57af1,8,"[0, 1]",0,0,0,,0.5,2
17,2a088dea-5e96-11f0-9dda-beb3bfa57af1,8,"[0, 1]",1,1,1,,0.5,2
18,2a088dea-5e96-11f0-9dda-beb3bfa57af1,9,"[1, 1]",0,1,-1,,0.5,2
19,2a088dea-5e96-11f0-9dda-beb3bfa57af1,9,"[1, 1]",1,1,-1,,0.5,2
20,2a088dea-5e96-11f0-9dda-beb3bfa57af1,10,"[0, 0]",0,0,0,,0.5,2
21,2a088dea-5e96-11f0-9dda-beb3bfa57af1,10,"[0, 0]",1,0,0,,0.5,2
22,2a088dea-5e96-11f0-9dda-beb3bfa57af1,11,"[1, 1]",0,1,-1,,0.5,2
23,2a088dea-5e96-11f0-9dda-beb3bfa57af1,11,"[1, 1]",1,1,-1,,0.5,2
24,2a088dea-5e96-11f0-9dda-beb3bfa57af1,12,"[0, 0]",0,0,0,,0.5,2
25,2a088dea-5e96-11f0-9dda-beb3bfa57af1,12,"[0, 0]",1,0,0,,0.5,2
26,2a088dea-5e96-11f0-9dda-beb3bfa57af1,13,"[0, 1]",0,0,0,,0.5,2
27,2a088dea-5e96-11f0-9dda-beb3bfa57af1,13,"[0, 1]",1,1,1,,0.5,2
28,2a088dea-5e96-11f0-9dda-beb3bfa57af1,14,"[0, 0]",0,0,0,,0.5,2
29,2a088dea-5e96-11f0-9dda-beb3bfa57af1,14,"[0, 0]",1,0,0,,0.5,2
