,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,708bbc76-0116-11f0-84a1-200b7412e5ea,0,"[0, 1]",0,0,0,,0.5,2
1,708bbc76-0116-11f0-84a1-200b7412e5ea,0,"[0, 1]",1,1,1,,0.5,2
2,708bbc76-0116-11f0-84a1-200b7412e5ea,1,"[1, 0]",0,1,1,,0.5,2
3,708bbc76-0116-11f0-84a1-200b7412e5ea,1,"[1, 0]",1,0,0,,0.5,2
4,708bbc76-0116-11f0-84a1-200b7412e5ea,2,"[1, 1]",0,1,-1,,0.5,2
5,708bbc76-0116-11f0-84a1-200b7412e5ea,2,"[1, 1]",1,1,-1,,0.5,2
6,708bbc76-0116-11f0-84a1-200b7412e5ea,3,"[1, 0]",0,1,1,,0.5,2
7,708bbc76-0116-11f0-84a1-200b7412e5ea,3,"[1, 0]",1,0,0,,0.5,2
8,708bbc76-0116-11f0-84a1-200b7412e5ea,4,"[0, 0]",0,0,0,,0.5,2
9,708bbc76-0116-11f0-84a1-200b7412e5ea,4,"[0, 0]",1,0,0,,0.5,2
10,708bbc76-0116-11f0-84a1-200b7412e5ea,5,"[1, 0]",0,1,1,,0.5,2
11,708bbc76-0116-11f0-84a1-200b7412e5ea,5,"[1, 0]",1,0,0,,0.5,2
12,708bbc76-0116-11f0-84a1-200b7412e5ea,6,"[0, 0]",0,0,0,,0.5,2
13,708bbc76-0116-11f0-84a1-200b7412e5ea,6,"[0, 0]",1,0,0,,0.5,2
14,708bbc76-0116-11f0-84a1-200b7412e5ea,7,"[1, 0]",0,1,1,,0.5,2
15,708bbc76-0116-11f0-84a1-200b7412e5ea,7,"[1, 0]",1,0,0,,0.5,2
16,708bbc76-0116-11f0-84a1-200b7412e5ea,8,"[1, 0]",0,1,1,,0.5,2
17,708bbc76-0116-11f0-84a1-200b7412e5ea,8,"[1, 0]",1,0,0,,0.5,2
18,708bbc76-0116-11f0-84a1-200b7412e5ea,9,"[0, 1]",0,0,0,,0.5,2
19,708bbc76-0116-11f0-84a1-200b7412e5ea,9,"[0, 1]",1,1,1,,0.5,2
20,708bbc76-0116-11f0-84a1-200b7412e5ea,10,"[1, 0]",0,1,1,,0.5,2
21,708bbc76-0116-11f0-84a1-200b7412e5ea,10,"[1, 0]",1,0,0,,0.5,2
22,708bbc76-0116-11f0-84a1-200b7412e5ea,11,"[1, 1]",0,1,-1,,0.5,2
23,708bbc76-0116-11f0-84a1-200b7412e5ea,11,"[1, 1]",1,1,-1,,0.5,2
24,708bbc76-0116-11f0-84a1-200b7412e5ea,12,"[1, 0]",0,1,1,,0.5,2
25,708bbc76-0116-11f0-84a1-200b7412e5ea,12,"[1, 0]",1,0,0,,0.5,2
